"Nome da conta","Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Identificação da conta","Identificação da campanha","Identificação do conjunto de anúncios","Identificação do anúncio",Anúncios,Idade,Gênero,Dia,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Custo por lead",Leads,"Cliques no link","CTR (todos)","CPM (custo por 1.000 impressões)","CPC (custo por clique no link)","CPC (todos)",Visualizações,"Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Orçamento da campanha","Tipo de orçamento da campanha","Início dos relatórios","Encerramento dos relatórios"
"Conta Haojue Sun Motors",CP05_dl-160_[inicio_01/01],"[Amanita] Always On | DL160 - Amplo",AD07_dl160_img_[08/01],184629203219671,120228417084420298,120228417084570298,120237922343140298,AD07_dl160_img_[08/01],18-24,male,2026-03-31,288,330,1.14583333,BRL,1.34,"Clique de 7 dias ou visualização de 1 dia",,,1,0.60606061,4.06060606,1.34,0.67,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Zontes",CP05_t-350+t-350-x_[inicio_01/01],"[Amanita] Zontes - T350 e T350x - Amplo",AD06_t350_img_[13/01]_com_preco,7658357130952021,120224545259140714,120224545259250714,120238669666370714,AD06_t350_img_[13/01]_com_preco,18-24,male,2026-03-31,26,29,1.11538462,BRL,0.15,"Clique de 7 dias ou visualização de 1 dia",,,,0,5.17241379,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP06_master-ride-150_[inicio_08/09],CJ01_master_ride_amplo,AD10_master_ride_img_[05/02],184629203219671,120231323193670298,120231323193700298,120238979706070298,AD10_master_ride_img_[05/02],18-24,male,2026-03-31,1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP07_nk-150_[inicio_18/09],CJ01_nk150_amplo,AD011_nk150_img_[05/03],184629203219671,120231793936550298,120231793936530298,120240269904510298,AD011_nk150_img_[05/03],18-24,male,2026-03-31,98,118,1.20408163,BRL,0.4,"Clique de 7 dias ou visualização de 1 dia",,,,0,3.38983051,,0,,"Using campaign budget",Daily,10,Daily,2026-03-31,2026-03-31
"Conta Haojue Sun Motors",CP08_dk-160_[inicio_14/10],CJ01_dk160_amplo,AD07_dk160_img_[05/03],184629203219671,120233157487530298,120233157487570298,120240273002990298,AD07_dk160_img_[05/03],18-24,male,2026-03-31,340,421,1.23823529,BRL,2.25,"Clique de 7 dias ou visualização de 1 dia",,,,0,5.34441805,,0,,"Using campaign budget",Daily,25,Daily,2026-03-31,2026-03-31
"Conta Zontes",CP05_t-350+t-350-x_[inicio_01/01],"[Amanita] Zontes - T350 e T350x - Amplo",AD07_t350_img_[04/03]_com_preco,7658357130952021,120224545259140714,120224545259250714,120240463253460714,AD07_t350_img_[04/03]_com_preco,18-24,male,2026-03-31,540,642,1.18888889,BRL,2.34,"Clique de 7 dias ou visualização de 1 dia",2.34,1,2,0.7788162,3.64485981,1.17,0.468,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Suzuki Sun Motors",CP09_gsx-s1000+gsx-s1000-gx_[inicio_05/02],CJ01_gsx-s1000+gsx-s1000-gx_amplo,AD04_gsx-s1000-gx_img_[04/03],722911362773979,120239355257350599,120239355257340599,120240558726840599,AD04_gsx-s1000-gx_img_[04/03],18-24,male,2026-03-31,5,5,1,BRL,0.03,"Clique de 7 dias ou visualização de 1 dia",,,,0,6,,0,,"Using campaign budget",Daily,18,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP07_sorento_[inicio_27/01],CJ01_sorento_amplo,AD01_sorrento_img_[27/01],277844195704332,6974778338815,6974778338615,6974778337815,AD01_sorrento_img_[27/01],18-24,male,2026-03-31,36,43,1.19444444,BRL,0.3,"Clique de 7 dias ou visualização de 1 dia",,,,0,6.97674419,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP05_niro_[inicio_01/01],"[Amanita] Always On | KIA | Amplo",AD09_niro_img_[18/02],277844195704332,6729879019015,6729879019215,6983252644415,AD09_niro_img_[18/02],18-24,male,2026-03-31,1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,20,Daily,2026-03-31,2026-03-31
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD08_bongo_img_[03/03],277844195704332,6662637016215,6662637322615,6990343348815,AD08_bongo_img_[03/03],18-24,male,2026-03-31,211,289,1.36966825,BRL,1.43,"Clique de 7 dias ou visualização de 1 dia",1.43,1,4,2.42214533,4.94809689,0.3575,0.20428571,,50,Daily,"Using ad set budget",,2026-03-31,2026-03-31
