"Nome da conta","Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Identificação da conta","Identificação da campanha","Identificação do conjunto de anúncios","Identificação do anúncio",Anúncios,Idade,Gênero,Dia,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Custo por lead",Leads,"Cliques no link","CTR (todos)","CPM (custo por 1.000 impressões)","CPC (custo por clique no link)","CPC (todos)",Visualizações,"Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Orçamento da campanha","Tipo de orçamento da campanha","Início dos relatórios","Término dos relatórios"
"Conta Haojue Sun Motors",CP06_master-ride-150_[inicio_08/09],CJ01_master_ride_amplo,AD01_master_ride_img_[08/09],184629203219671,120231323193670298,120231323193700298,120231323193930298,AD01_master_ride_img_[08/09],18-24,male,2026-02-28,18,19,1.05555556,BRL,0.05,"Clique de 7 dias ou visualização de 1 dia",,,,0,2.63157895,,0,,"Using campaign budget",Daily,15,Daily,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CPE04_festival-seminovos_[inicio_11/02],CJE_amplo_seminovos_diversos,AD01_seminovos_img_[12/11],277844195704332,6980813028015,6980813028615,6980813028415,AD01_seminovos_img_[12/11],18-24,male,2026-02-28,3,3,1,BRL,0.04,"Clique de 7 dias ou visualização de 1 dia",,,,0,13.33333333,,0,,"Using campaign budget",Daily,20,Daily,2026-02-28,2026-02-28
"Conta Zontes",CP08_tactic-400_[inicio_30/11],CJ01_tactic400_Amplo,AD04_tactic400_img_[29/11],7658357130952021,120224545592140714,120224545592160714,120236521361910714,AD04_tactic400_img_[29/11],18-24,male,2026-02-28,17,22,1.29411765,BRL,0.27,"Clique de 7 dias ou visualização de 1 dia",,,1,4.54545455,12.27272727,0.27,0.27,,"Using campaign budget",Daily,8,Daily,2026-02-28,2026-02-28
"Conta Haojue Sun Motors",CP07_nk-150_[inicio_18/09],CJ01_nk150_amplo,AD08_nk150_img_[01/12],184629203219671,120231793936550298,120231793936530298,120236167397160298,AD08_nk150_img_[01/12],18-24,male,2026-02-28,111,131,1.18018018,BRL,1.01,"Clique de 7 dias ou visualização de 1 dia",,,1,0.76335878,7.70992366,1.01,1.01,,"Using campaign budget",Daily,15,Daily,2026-02-28,2026-02-28
"Conta Haojue Sun Motors",CP04_dr-160_[inicio_01/01],"[Amanita] Always On | DR160 - Amplo",AD07_dr160_img_[06/01],184629203219671,120218349708790298,120218349708850298,120237818342340298,AD07_dr160_img_[06/01],18-24,male,2026-02-28,736,822,1.11684783,BRL,4.32,"Clique de 7 dias ou visualização de 1 dia",,,5,0.72992701,5.25547445,0.864,0.72,,"Using campaign budget",Daily,25,Daily,2026-02-28,2026-02-28
"Conta Haojue Sun Motors",CP08_dk-160_[inicio_14/10],CJ01_dk160_amplo,AD06_dk160_img_[06/01],184629203219671,120233157487530298,120233157487570298,120237818393430298,AD06_dk160_img_[06/01],18-24,male,2026-02-28,552,701,1.26992754,BRL,2.84,"Clique de 7 dias ou visualização de 1 dia",2.84,1,6,1.28388017,4.05135521,0.47333333,0.31555556,,"Using campaign budget",Daily,15,Daily,2026-02-28,2026-02-28
"Conta Haojue Sun Motors",CP05_dl-160_[inicio_01/01],"[Amanita] Always On | DL160 - Amplo",AD07_dl160_img_[08/01],184629203219671,120228417084420298,120228417084570298,120237922343140298,AD07_dl160_img_[08/01],18-24,male,2026-02-28,167,199,1.19161677,BRL,0.67,"Clique de 7 dias ou visualização de 1 dia",,,1,1.50753769,3.36683417,0.67,0.22333333,,"Using campaign budget",Daily,10,Daily,2026-02-28,2026-02-28
"Conta Zontes",CP05_t-350+t-350-x_[inicio_01/01],"[Amanita] Zontes - T350 e T350x - Amplo",AD06_t350_img_[13/01],7658357130952021,120224545259140714,120224545259250714,120238669666370714,AD06_t350_img_[13/01],18-24,male,2026-02-28,263,309,1.17490494,BRL,0.82,"Clique de 7 dias ou visualização de 1 dia",,,2,0.97087379,2.65372168,0.41,0.27333333,,"Using campaign budget",Daily,20,Daily,2026-02-28,2026-02-28
"Conta Haojue Sun Motors",CPE04_[carnaval_ofertas_inicio_02/02]],CJE01_[carnaval_ofertas],AD01_dl160_img_[02/01],184629203219671,120238736778790298,120238736778820298,120238736778810298,AD01_dl160_img_[02/01],18-24,male,2026-02-28,30,34,1.13333333,BRL,0.18,"Clique de 7 dias ou visualização de 1 dia",,,,0,5.29411765,,0,,"Using campaign budget",Daily,40,Daily,2026-02-28,2026-02-28
"Conta Haojue Sun Motors",CPE04_[carnaval_ofertas_inicio_02/02]],CJE01_[carnaval_ofertas],AD07_gsx-8s_img_[02/01],184629203219671,120238736778790298,120238736778820298,120238739669030298,AD07_gsx-8s_img_[02/01],18-24,male,2026-02-28,2,2,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,40,Daily,2026-02-28,2026-02-28
