Relatório de campanha
1 de janeiro de 2026 - 31 de janeiro de 2026
Semana,Status da campanha,Campanha,Orçamento,Nome do orçamento,Tipo de orçamento,Código da moeda,Tipo de estratégia de lances,Status,Motivos do status,Tipo de campanha,Custo,Custo médio,Conversões,Custo / conv.,Impr.,Interações,CPM médio,Taxa de interação,Cliques,CPC méd.
2025-12-29,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"12,14","0,35","0,00","0,00",929,35,"13,06","3,77%",35,"0,35"
2026-01-05,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"12,78","0,18","0,00","0,00",2.041,70,"6,26","3,43%",70,"0,18"
2026-01-12,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"32,73","0,44","0,00","0,00",1.922,74,"17,03","3,85%",74,"0,44"
2026-01-19,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"20,99","0,48","0,00","0,00",2.583,44,"8,12","1,70%",44,"0,48"
2026-01-26,Ativada,[Pesquisa]_v-strom-800-de,"3,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"3,97","0,19","0,00","0,00",349,21,"11,38","6,02%",21,"0,19"
2025-12-29,Ativada,[Pesquisa]_master-ride-150,"9,00", --,Diário,BRL,Maximizar as conversões,Não qualificado,a maioria dos anúncios foi reprovada,Pesquisa,"28,15","0,94","0,00","0,00",526,30,"53,52","5,70%",30,"0,94"
2026-01-05,Ativada,[Pesquisa]_master-ride-150,"9,00", --,Diário,BRL,Maximizar as conversões,Não qualificado,a maioria dos anúncios foi reprovada,Pesquisa,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2026-01-12,Ativada,[Pesquisa]_master-ride-150,"9,00", --,Diário,BRL,Maximizar as conversões,Não qualificado,a maioria dos anúncios foi reprovada,Pesquisa,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2026-01-19,Ativada,[Pesquisa]_master-ride-150,"9,00", --,Diário,BRL,Maximizar as conversões,Não qualificado,a maioria dos anúncios foi reprovada,Pesquisa,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2026-01-26,Ativada,[Pesquisa]_master-ride-150,"9,00", --,Diário,BRL,Maximizar as conversões,Não qualificado,a maioria dos anúncios foi reprovada,Pesquisa,"0,00",0,"0,00","0,00",0,0,0, --,0,0
2025-12-29,Ativada,[Pesquisa]_t-350,"6,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"25,70","0,95","3,00","8,57",146,27,"176,03","18,49%",27,"0,95"
2026-01-05,Ativada,[Pesquisa]_t-350,"6,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"41,20","0,79","2,00","20,60",434,52,"94,92","11,98%",52,"0,79"
2026-01-12,Ativada,[Pesquisa]_t-350,"6,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"42,64","0,74","2,50","17,06",391,58,"109,06","14,83%",58,"0,74"
2026-01-19,Ativada,[Pesquisa]_t-350,"6,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"32,96","0,72","3,00","10,99",288,46,"114,45","15,97%",46,"0,72"
2026-01-26,Ativada,[Pesquisa]_t-350,"6,00", --,Diário,BRL,Maximizar as conversões,Qualificado,desconhecido,Pesquisa,"9,69","0,88","1,00","9,69",124,11,"78,15","8,87%",11,"0,88"
